Game No.,College,,,,,,Game No.,NFL,,,,,
,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA,,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA
1,94.4,0.750,0.063,0.063,6.300,8.400,1,88.3,0.606,0.091,0.061,7.600,7.400
2,89.3,0.700,0.000,0.000,5.200,6.900,2,109.7,0.703,0.054,0.000,6.000,7.500
3,101.5,0.725,0.050,0.050,2.600,10.400,3,69.8,0.707,0.024,0.049,11.900,5.000
4,115.4,0.733,0.033,0.000,0.300,9.900,4,79.4,0.600,0.040,0.040,6.000,7.400
5,121.1,0.702,0.064,0.000,3.900,9.400,5,100.6,0.744,0.051,0.026,9.000,7.200
6,119.1,0.515,0.121,0.000,1.000,8.300,6,74.4,0.595,0.027,0.027,5.200,6.000
7,79.1,0.500,0.042,0.021,2.800,7.200,7,96.9,0.800,0.033,0.033,11.800,7.900
8,137.1,0.680,0.080,0.000,5.800,12.400,8,99.6,0.826,0.043,0.043,3.500,8.800
9,143.8,0.696,0.174,0.000,-1.700,10.600,9,90.2,0.611,0.056,0.028,5.000,7.300
10,87.5,0.651,0.023,0.023,1.800,8.000,10,84.8,0.545,0.045,0.000,5.300,5.300
11,61.0,0.444,0.028,0.028,6.700,5.800,11,,,,,,
12,73.8,0.579,0.053,0.053,11.800,6.700,12,,,,,,
