Game No.,College,,,,,,Game No.,NFL,,,,,
,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA,,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA
1,148.0,0.852,0.111,0.000,0.000,10.600,1,47.5,0.619,0.000,0.048,7.000,3.300
2,111.8,0.727,0.045,0.000,5.100,8.200,2,55.2,0.571,0.000,0.057,6.300,7.000
3,141.8,0.778,0.111,0.000,7.000,9.100,3,85.0,0.694,0.000,0.000,5.200,6.000
4,119.2,0.848,0.091,0.030,1.800,8.400,4,67.9,0.480,0.040,0.000,0.600,2.400
5,144.0,0.844,0.125,0.000,6.000,9.100,5,117.2,0.704,0.074,0.000,1.100,7.600
6,111.6,0.750,0.045,0.000,2.000,7.700,6,84.9,0.576,0.061,0.030,10.200,6.500
7,137.6,0.720,0.080,0.000,2.000,11.700,7,79.6,0.615,0.000,0.000,7.500,6.300
8,121.4,0.774,0.065,0.000,2.000,8.000,8,124.2,0.757,0.081,0.000,0.800,7.700
9,132.1,0.763,0.105,0.026,0.600,10.200,9,65.6,0.576,0.000,0.030,6.000,6.800
10,155.6,0.742,0.129,0.000,5.000,13.300,10,115.3,0.733,0.067,0.000,-1.700,7.200
11,158.3,0.828,0.207,0.000,2.300,13.900,11,145.0,0.848,0.121,0.000,2.500,9.300
12,121.6,0.825,0.050,0.000,5.200,9.200,12,94.6,0.595,0.048,0.000,5.000,6.500
13,100.0,0.618,0.088,0.029,11.500,7.000,13,65.7,0.514,0.029,0.057,1.300,8.400
14,149.5,0.800,0.143,0.000,6.000,10.400,14,61.4,0.606,0.091,0.091,2.900,3.900
15,,,,,,,15,106.6,0.725,0.050,0.000,8.300,6.600
16,,,,,,,16,114.9,0.774,0.097,0.032,4.400,7.100
17,,,,,,,17,152.4,0.897,0.138,0.000,6.700,11.100
