Game No.,College,,,,,,Game No.,NFL,,,,,
,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA,,Passer Rating,Completion %,Pass TD%,Int %,YPC,YPA
1,148.0,0.720,0.160,0.000,-0.300,11.100,1,55.7,0.483,0.000,0.000,3.000,3.200
2,156.3,0.750,0.208,0.000,14.000,13.300,2,51.0,0.622,0.000,0.054,8.800,4.700
3,158.3,0.905,0.143,0.000,21.000,13.400,3,80.8,0.635,0.038,0.038,8.000,7.000
4,131.4,0.645,0.097,0.000,1.100,10.400,4,106.6,0.739,0.043,0.000,2.400,6.800
5,135.7,0.750,0.150,0.025,2.400,10.100,5,126.2,0.690,0.069,0.000,6.800,10.500
6,98.6,0.560,0.040,0.000,3.400,8.800,6,124.4,0.793,0.138,0.034,14.000,7.800
7,51.5,0.622,0.027,0.081,-0.200,5.400,7,59.5,0.417,0.000,0.000,5.200,5.500
8,92.3,0.706,0.000,0.000,2.700,7.500,8,68.9,0.537,0.000,0.000,1.300,5.300
9,105.1,0.575,0.050,0.000,0.700,9.200,9,63.2,0.533,0.000,0.000,7.500,4.000
10,132.1,0.771,0.086,0.000,1.600,8.900,10,95.0,0.742,0.000,0.000,7.800,7.500
11,94.1,0.559,0.029,0.000,-1.400,8.600,11,103.1,0.681,0.043,0.000,5.500,7.200
12,99.7,0.738,0.024,0.024,-2.900,9.100,12,97.8,0.513,0.077,0.000,9.800,6.600
13,,,,,,,13,116.9,0.739,0.087,0.000,6.800,5.800
14,,,,,,,14,86.9,0.581,0.032,0.000,0.800,6.200
15,,,,,,,15,107.7,0.650,0.050,0.000,5.700,8.400
16,,,,,,,16,53.0,0.571,0.000,0.036,7.400,4.400
17,,,,,,,17,95.2,0.724,0.034,0.000,3.300,5.100
